Year,Species,REGION NO. 57 - INDIAN OCEAN EAST - Andhra- Pradesh,REGION NO. 57 - INDIAN OCEAN EAST - Orissa,REGION NO. 57 - INDIAN OCEAN EAST - Tamil Nadu,REGION NO. 57 - INDIAN OCEAN EAST - West Bengal,REGION NO. 57 - INDIAN OCEAN EAST - Andaman & Nicobar,REGION NO. 57 - INDIAN OCEAN EAST - Pondi- cherry,REGION NO. 57 - INDIAN OCEAN EAST - Total,REGION NO. 51 - INDIAN OCEAN WEST - Gujarat,REGION NO. 51 - INDIAN OCEAN WEST - Karnataka,REGION NO. 51 - INDIAN OCEAN WEST - Kerala,REGION NO. 51 - INDIAN OCEAN WEST - Maharashtra,REGION NO. 51 - INDIAN OCEAN WEST - Goa,REGION NO. 51 - INDIAN OCEAN WEST - Lakshadweep,REGION NO. 51 - INDIAN OCEAN WEST - Daman & Diu,REGION NO. 51 - INDIAN OCEAN WEST - Total,Total for India,Sl. No.,REGION NO. 57 - INDIAN OCEAN EAST - A.P.,REGION NO. 57 - INDIAN OCEAN EAST - T.N.,REGION NO. 57 - INDIAN OCEAN EAST - W.B.,REGION NO. 57 - INDIAN OCEAN EAST - A & N Islands,REGION NO. 57 - INDIAN OCEAN EAST - Puducherry
2010,Rana spp (Frogs),,,,,,,0,,,,,,,,0,0,57,0.0,,,,
2010,Ascidiacea (Sea squirts),,,,,,,7,,,,,,,,0,7,58,7.0,,,,
2010,Unspecified,,,,,,,11542,,101695.0,,4311.0,,,192.0,106198,117740,59,5859.0,407.0,0.0,2379.0,2897.0
2010,Deep Sea Fishing Sector @,,,,,,,296,,,,,,,,0,296,60,296.0,,,,
2010,Misc.,,,,,,,20125,,,,,,,,0,20125,61,,20125.0,,,
2010,Total,,140176.0,,,,,1091622,677288.0,340570.0,560822.0,424214.0,87080.0,12090.0,16810.0,2118874,3210496,Total,282155.0,404612.0,194621.0,33740.0,36318.0
2011,"Catfishes (Wallago attu, pangasius )",,,,,,,0,,,,,,,,0,0,1,,,,,
2011,Hilsa Ilisha (Tenualosa),,2978.0,,,,,22947,3568.0,13566.0,,1649.0,3995.0,,524.0,23302,46249,2,3109.0,12.0,16523.0,301.0,24.0
2011,Flat Fish,,1527.0,,,,,14641,0.0,,,7437.0,,,132.0,7569,22210,3,3290.0,8620.0,0.0,28.0,1176.0
2011,Bregmaceros,,,,,,,4596,68080.0,100.0,,547.0,,,,68727,73323,4,2000.0,2219.0,0.0,,377.0
2011,Harpodon Neherus,,1570.0,,,,,16621,26911.0,2425.0,181.0,51190.0,1545.0,,515.0,82767,99388,5,3350.0,,11390.0,,311.0
2011,Sea Catfishes,,6878.0,,,,,39802,0.0,4494.0,,14323.0,,,1423.0,20240,60042,6,6423.0,4438.0,21072.0,198.0,793.0
